Date,Open,High,Low,Close,Volume
2007-11-19,21.262,21.54,20.758,20.996,321694225
2007-11-20,21.247,22,20.942,21.623,429930531
2007-11-21,21.195,22.072,21.086,21.572,339509885
2007-11-23,22.027,22.033,21.739,21.967,129891462
2007-11-26,22.268,22.7,22.072,22.097,363869639
2007-11-27,22.439,22.511,21.772,22.387,366923874
2007-11-28,22.669,23.128,22.456,23.08,320237489
2007-11-29,22.959,23.714,22.943,23.6,291924936
2007-11-30,24.016,24.039,23.012,23.335,331057965
2007-12-03,23.282,23.584,22.755,22.908,267838964
2007-12-04,22.679,23.167,22.667,23.027,215691856
2007-12-05,23.435,23.819,23.361,23.755,248378681
2007-12-06,23.847,24.346,23.834,24.327,250866121
2007-12-07,24.401,24.972,24.081,24.883,297123533
2007-12-10,24.79,25.057,24.675,24.873,201210463
2007-12-11,24.947,25.207,23.996,24.145,308945448
2007-12-12,24.779,24.905,23.787,24.441,341155751
2007-12-13,24.346,24.604,24.053,24.565,241126701
2007-12-14,24.369,25.612,24.273,24.381,188026204
2007-12-17,24.423,24.672,23.433,23.615,285267629
2007-12-18,23.916,23.989,22.872,23.433,340716873
2007-12-19,23.447,23.644,23.167,23.451,230164023
2007-12-20,23.748,24.054,23.477,23.974,215053709
2007-12-21,24.336,24.833,24.319,24.833,277136695
2007-12-24,24.973,25.527,24.944,25.459,133938457
2007-12-26,25.486,25.735,25.205,25.478,196023777
2007-12-27,25.478,25.992,25.331,25.429,221610714
2007-12-28,25.681,25.811,25.213,25.591,193249555
2007-12-31,25.58,25.675,25.323,25.368,149767323
2008-01-02,25.547,25.646,24.658,24.951,300780650
2008-01-03,25.034,25.278,24.675,24.964,234652068
2008-01-04,24.527,24.715,22.91,23.057,405631839
2008-01-07,23.213,23.51,21.799,22.748,577574252
2008-01-08,23.06,23.368,21.874,21.932,424241367
2008-01-09,21.961,22.986,21.552,22.973,505605195
2008-01-10,22.748,23.181,22.463,22.796,413104626
2008-01-11,22.537,22.774,21.771,22.116,343006974
2008-01-14,22.743,22.976,22.434,22.898,306290012
2008-01-15,22.767,22.952,21.085,21.648,653218753
2008-01-16,21.144,21.644,20.068,20.443,617221901
2008-01-17,20.672,21.178,20.287,20.604,490056992
2008-01-18,20.709,21.228,20.438,20.664,478705168
2008-01-22,18.941,20.488,18.696,19.93,668204384
2008-01-23,17.439,17.927,16.154,17.81,939695278
2008-01-24,17.927,18.016,16.906,17.366,558747916
2008-01-25,17.804,17.813,16.598,16.65,432827562
2008-01-28,16.393,17.058,16.195,16.65,410897690
2008-01-29,16.802,17.004,16.528,16.845,306592896
2008-01-30,16.84,17.349,16.648,16.928,346000509
2008-01-31,16.608,17.499,16.57,17.337,374807167
2008-02-01,17.454,17.49,16.928,17.129,281707026
2008-02-04,17.19,17.403,16.83,16.86,250535180
2008-02-05,16.7,17.159,16.507,16.565,317853612
2008-02-06,16.759,16.895,15.597,15.623,437605500
2008-02-07,15.364,15.981,15.017,15.526,580659389
2008-02-08,15.632,16.097,15.574,16.07,377878653
2008-02-11,16.399,16.646,16.29,16.577,334732316
2008-02-12,16.744,16.774,15.83,15.991,341619552
2008-02-13,16.231,16.62,16.087,16.57,269675765
2008-02-14,16.578,16.751,16.265,16.322,265982495
2008-02-15,16.173,16.273,15.886,15.962,250737774
2008-02-19,16.142,16.232,15.552,15.644,279953599
2008-02-20,15.649,15.958,15.584,15.856,269429202
2008-02-21,16.149,16.198,15.476,15.567,261418619
2008-02-22,15.687,15.689,14.839,15.296,426218780
2008-02-25,15.186,15.391,14.94,15.335,350160432
2008-02-26,15.066,15.507,14.784,15.258,417111822
2008-02-27,15.143,15.758,15.122,15.748,407279206
2008-02-28,16.282,16.929,16.106,16.636,450691198
2008-02-29,16.559,16.676,15.984,16.009,347604195
2008-03-03,15.932,16.134,15.112,15.591,444179020
2008-03-04,15.621,15.993,15.42,15.961,497707051
2008-03-05,15.827,16.024,15.653,15.942,339718950
2008-03-06,15.995,16.328,15.47,15.484,410732148
2008-03-07,15.431,15.749,15.247,15.653,343135737
2008-03-10,15.641,15.811,15.285,15.328,278980325
2008-03-11,15.843,16.325,15.623,16.308,324881375
2008-03-12,16.264,16.48,16.028,16.14,295393929
2008-03-13,15.871,16.582,15.752,16.385,352229888
2008-03-14,16.647,16.687,15.906,16.213,322574554
2008-03-17,15.697,16.468,15.694,16.23,298973888
2008-03-18,16.561,17.032,16.479,17.009,335975837
2008-03-19,17.043,17.197,16.605,16.605,281724859
2008-03-20,16.754,17.069,16.543,17.066,253287048
2008-03-24,17.167,18.038,17.116,17.872,297599035
2008-03-25,17.926,18.326,17.588,18.055,293513679
