Date,Open,High,Low,Close,Volume
2007-11-19,78.7,79.75,77.94,79.18,8649751
2007-11-20,80,82,78.31,80.39,10756142
2007-11-21,79.25,80.86,78.65,79.76,6678281
2007-11-23,80.11,81.45,78.98,81.43,2783528
2007-11-26,82.3,84.49,81.14,81.3,8594943
2007-11-27,82.92,85.65,82.21,85.59,8628046
2007-11-28,87.7,90.57,86.75,90.3,11369614
2007-11-29,90.05,91.47,88.68,89.15,6976411
2007-11-30,89.15,91.08,88.31,90.56,6881273
2007-12-03,90,92.25,89.77,90.91,6000414
2007-12-04,90.04,94.56,90.04,94.41,7326871
2007-12-05,94.9,94.99,91.98,93.19,6607514
2007-12-06,93.28,95,92.83,94.21,5472313
2007-12-07,94.68,94.68,92.91,94.31,3934048
2007-12-10,94.31,94.35,92.3,93.02,5180300
2007-12-11,93.1,95.94,90.75,90.75,10269130
2007-12-12,92.84,93.75,89.32,91.28,7228093
2007-12-13,91.44,93,90.63,92.4,6045715
2007-12-14,90.6,91.24,88.93,89.08,6001791
2007-12-17,88.9,89.06,84.99,85.09,7657642
2007-12-18,85.83,87.46,83.86,86.89,7264199
2007-12-19,86.94,89.95,86.83,89.38,7615613
2007-12-20,90.14,90.75,89.09,90.58,5877702
2007-12-21,91.27,92.28,90.39,91.26,6604842
2007-12-24,91.26,91.56,90.3,91.01,2017170
2007-12-26,91.11,93.94,90.5,92.85,5442166
2007-12-27,92.95,95.29,92.5,94.25,7113607
2007-12-28,95.27,95.9,92.1,94.45,7528918
2007-12-31,93.8,94.37,92.45,92.64,5730299
2008-01-02,95.38,97.43,94.7,96.25,13857373
2008-01-03,96.06,97.25,94.52,95.21,9121967
2008-01-04,93.38,93.4,88.5,88.79,10269413
2008-01-07,88.5,90.57,85.47,88.82,9978538
2008-01-08,87.57,91.83,86.93,87.88,12283205
2008-01-09,87.56,87.8,80.24,85.22,16410827
2008-01-10,83.98,85.97,82.97,84.26,11469519
2008-01-11,84.03,84.03,80.29,81.08,10623684
2008-01-14,82,83.32,78.87,82.87,9055048
2008-01-15,80.35,81.01,78.51,80.24,9655111
2008-01-16,79.58,82.36,78.44,80.35,12406777
2008-01-17,80.92,82.25,79.54,80.12,9898910
2008-01-18,79.94,82.31,78.04,79.76,13268005
2008-01-22,73.56,79.72,72.22,78.48,12830093
2008-01-23,75.6,76.8,69.95,73.97,20396472
2008-01-24,74.53,77.88,74.19,77.67,9885441
2008-01-25,78.8,81.43,76.33,77.6,10009700
2008-01-28,77.2,77.4,74.34,75.82,8450484
2008-01-29,75.77,75.9,72.06,73.95,9957476
2008-01-30,73.69,77.42,73.25,74.21,23681898
2008-01-31,68.88,78.87,68.84,77.7,42861024
2008-02-01,79.04,79.4,73.37,74.63,16360892
2008-02-04,74.5,76.66,73.9,73.95,9153268
2008-02-05,72.91,74.21,72,72.09,9633883
2008-02-06,72.3,72.42,68.17,68.49,12398959
2008-02-07,67.37,72.71,67.22,70.91,14501241
2008-02-08,73.4,74.6,72.52,73.5,11700183
2008-02-11,73.1,75.96,72.77,75.19,7763657
2008-02-12,75.6,77.05,73.79,74.45,9448412
2008-02-13,75.09,78.85,73.27,77.73,11066852
2008-02-14,77.71,77.88,75.18,75.8,7492025
2008-02-15,75.19,75.19,71.94,72.96,11097890
2008-02-19,73.56,74,71.55,72.08,7109109
2008-02-20,71.84,73.88,71.1,73.64,6450626
2008-02-21,73.75,74.21,69.37,69.9,13150394
2008-02-22,70.51,72.21,69.86,72.08,12342448
2008-02-25,72.35,73.5,71.41,73.27,7858163
2008-02-26,72,73.5,70.28,71.69,9657461
