Date,Open,High,Low,Close,Volume
2007-11-19,28.326,28.571,28.261,28.335,75505510
2007-11-20,28.478,29.179,28.453,28.853,118040966
2007-11-21,28.712,28.978,28.519,28.562,107278830
2007-11-23,28.609,28.739,28.128,28.461,40110882
2007-11-26,28.386,28.678,27.477,27.511,96257317
2007-11-27,27.777,28.035,27.267,27.583,100759294
2007-11-28,27.86,28.278,27.451,28.118,105826292
2007-11-29,27.961,28.311,27.794,28.027,64246332
2007-11-30,28.287,28.469,27.694,28.035,84883307
2007-12-03,28.017,28.069,27.267,27.467,73959998
2007-12-04,27.336,27.734,27.224,27.345,65678450
2007-12-05,27.635,28.802,27.559,28.494,101718111
2007-12-06,28.586,28.879,28.261,28.828,58974878
2007-12-07,28.871,28.954,28.553,28.811,48858070
2007-12-10,28.862,29.163,28.761,29.004,43235780
2007-12-11,28.986,29.194,28.311,28.453,65999911
2007-12-12,28.871,29.279,28.311,28.761,75875596
2007-12-13,28.77,29.58,28.603,29.387,88582766
2007-12-14,29.246,29.903,29.211,29.461,85234853
2007-12-17,29.228,29.313,28.668,28.694,67011602
2007-12-18,28.862,29.202,28.545,28.986,62294939
2007-12-19,28.935,29.319,28.686,29.029,70048071
2007-12-20,29.445,29.862,29.271,29.635,71115124
2007-12-21,29.93,30.089,29.831,30.089,99758584
2007-12-24,30.098,30.637,30.08,30.522,35502086
2007-12-26,30.379,30.574,30.256,30.548,36247025
2007-12-27,30.291,30.495,29.988,30.012,39922656
2007-12-28,30.08,30.23,29.762,30.14,39341223
2007-12-31,29.964,30.029,29.635,29.707,41583471
2008-01-02,29.862,30.005,29.202,29.387,75509279
2008-01-03,29.387,29.748,29.086,29.513,59442604
2008-01-04,29.362,29.371,28.446,28.686,86398851
2008-01-07,28.785,29.037,28.579,28.879,96074010
2008-01-08,28.886,28.963,27.869,27.91,94843905
2008-01-09,27.827,28.82,27.827,28.739,89029485
2008-01-10,28.511,28.785,28.184,28.646,86824527
2008-01-11,28.362,28.571,28.136,28.294,66117386
2008-01-14,28.745,28.845,28.436,28.694,63267798
2008-01-15,28.686,28.686,28.37,28.37,73784376
2008-01-16,27.794,28.079,27.127,27.727,144750658
2008-01-17,28.128,28.202,27.511,27.626,112946080
2008-01-18,27.617,28.37,27.511,27.543,137504624
2008-01-22,26.317,27.145,26.283,26.692,130266157
2008-01-23,26.35,26.743,25.898,26.643,164813186
2008-01-24,27.01,27.835,26.8,27.742,185849854
2008-01-25,29.086,29.202,27.427,27.485,235471093
2008-01-28,27.543,27.617,27.049,27.303,97044097
2008-01-29,27.436,27.443,26.992,27.2,81499627
2008-01-30,27.184,27.367,26.743,26.867,127207071
2008-01-31,26.668,27.319,26.467,27.2,123858228
2008-02-01,25.95,27.742,25.24,25.399,348710129
2008-02-04,25.433,25.633,25.123,25.19,143776513
2008-02-05,24.956,24.982,24.105,24.255,164797077
2008-02-06,24.49,24.49,23.596,23.797,165141123
2008-02-07,23.687,24.014,23.281,23.461,197607906
2008-02-08,23.614,24.262,23.564,23.828,149621828
2008-02-11,23.805,23.872,23.289,23.538,187902363
2008-02-12,23.696,23.88,23.454,23.647,101075479
